,score,score,score,score,user score,user score,players,players,players,platform
,mean,median,count,std,mean,median,sum,mean,max,nunique
year,,,,,,,,,,
1995,86.0,86.0,1,,8.6,8.6,0.0,,,1
1996,85.45,89.0,20,9.79513842894041,8.355,8.45,0.0,,,3
1997,85.18518518518519,86.0,27,8.320674145381387,8.459259259259259,8.6,0.0,,,3
1998,82.46666666666667,85.0,45,10.413278236768846,8.395348837209303,8.5,0.0,,,3
1999,83.42307692307692,86.5,52,10.008518242264001,8.476470588235294,8.6,0.0,,,4
2000,72.0112676056338,73.0,355,13.954522071419872,7.5931372549019605,7.7,0.0,,,5
2001,71.38278388278388,73.0,546,13.460441407248839,7.524435318275154,7.8,0.0,,,8
2002,69.72010178117048,71.0,786,13.477153226772684,7.432115677321156,7.7,0.0,,,7
2003,70.33908754623921,72.0,811,13.506731331642294,7.546648426812586,7.8,0.0,,,6
2004,69.77624309392266,71.0,724,12.567040217796182,7.493524096385542,7.8,0.0,,,6
2005,70.0081490104773,71.0,859,12.05701988005438,7.368381430363865,7.7,10.0,2.0,2.0,8
2006,67.21076233183857,69.0,892,12.7749393721226,7.253540372670808,7.5,16.0,2.0,2.0,10
2007,66.67094017094017,68.0,936,13.454405062496111,7.016802800466744,7.3,32.0,2.0,2.0,9
2008,67.32944915254237,69.0,944,13.591547390189442,7.065207100591716,7.3,28.0,2.0,2.0,7
2009,68.74845360824742,71.0,970,13.422660886112833,7.024684270952927,7.4,44.0,2.0,2.0,7
2010,69.95749704840614,72.0,847,12.92661913045723,7.113240857503153,7.5,40.0,2.0,2.0,7
2011,69.3890824622532,71.0,861,13.088191792211212,6.770338983050848,7.1,56.0,2.0,2.0,7
2012,70.22012578616352,73.0,795,13.099237483692807,6.789554140127389,7.1,46.0,2.0,2.0,9
2013,70.33159268929504,73.0,766,13.32753675258097,6.75997375328084,7.1,60.0,2.0,2.0,10
2014,70.98719590268887,73.0,781,12.015474635514842,6.825518134715026,7.1,52.0,2.0,2.0,8
2015,71.58333333333333,73.0,864,10.787207564758932,6.807218934911243,7.0,54.0,2.0,2.0,8
2016,71.38391038696538,73.0,982,10.927537519154582,6.697987288135593,7.0,50.0,2.0,2.0,7
2017,72.31539187913125,74.0,1059,10.200571683837019,6.725502008032129,7.0,60.0,2.0,2.0,7
2018,72.09415867480384,73.0,1147,10.619790822946657,6.681977818853974,7.0,120.0,2.0,2.0,6
2019,72.77524752475247,74.0,1010,9.772840198134546,6.490248962655602,6.8,58.0,2.0,2.0,5
2020,72.18981481481481,74.0,864,9.755342617421503,6.600550206327373,6.9,78.0,2.0,2.0,7
